,기사제목,분류
1184,"""결혼한 사람이 안한 사람보다 행복""…갤럽 조사 결과 나왔다",생활
1186,"홍준표 ""동대구역에 박정희 광장..동상도 건립""",정치
1188,무면허 운전으로 사고 낸 60대.. 119 신고 안 해 피해자 숨졌다,사회
1190,"""의사들 돈 많이 버는 것 사실…증원도 찬성"" 소신 발언 의사 '화제'",사회
1192,"비트코인, 6만7000달러 돌파...일시적으로 사상최고치도 돌파",경제
1194,"""인륜 무너지고 족보 엉망"" 성균관·유림, 1인 시위 집회 추진",사회
1196,식당 올때마다 1.5ℓ 병에 정수기 물 3통씩 받아가는 단골손님 [어떻게 생각하세요],사회
1198,"8K TV 안 팔리는데…삼성전자, 그래도 '마이웨이'",경제
1200,"""숨는 모습 부끄러워 그만둡니다"" 現 의대 교수…전국 첫 사직서 제출",사회
1202,"'성추행 누명' 쓰고 세상 떠난 교사, 7년 만에 '명예회복'됐다",사회
1204,"욕하고 밀치고..현직 래퍼, 국힘 후보 선거운동 세차례나 방해..결국 경찰에 입건",사회
1206,"""4만 원 표시하고도 5만 원 요구"" 소래포구 '바가지요금 논란'…인천시 단속",사회
1208,"뉴욕증시, 일제히 하락...SMCI, 엔비디아 등 반도체는 급등",경제
1210,[fn마켓워치]스틱벤처스 투자한 '로봇' 디자인 수상,경제
1212,"[속보]뉴욕증시, 일제히 하락...SMCI, 엔비디아 등 반도체는 급등",경제
1214,갤럭시A55 실물·성능 유출.. 갤럭시S24보다 램 용량 크네 [1일IT템],IT
1216,"경찰, 딥페이크 탐지 소프트웨어 개발…선거 여론조작 소탕",사회
1218,"'검찰개혁' 내세운 조국혁신당, '진짜 민주당' 선언한 새로운미래..총선전략은 [2024 총선]",정치
1220,"의대 증원에 너도나도 대입 재도전?…""N수 성적 올리기 만만치 않아""",사회
1222,키 작은 남친 때문에 '정자은행' 쓴다는 여친 [어떻게 생각하세요],사회
1223,"'랜선연인' 만나러 한국 온 스위스男 ""모든 게 사기였다""",사회
1224,"한동훈 ""이재명과 1대1 토론…김어준 사회자 해도 상관없다""",정치
1226,"이틀 전 배달된 샐러드 ""시들어 못먹겠다""며 환불해달라는 女 [어떻게 생각하세요]",사회
1228,"""유명 연예인 집, 개 짖는 소리에 미칠 지경""..빈집에 종일 방치 폭로글 나왔다",사회
1230,"""인생 알 수 없다"" '풀 소유' 논란, 혜민 스님…방송 복귀",사회
1232,"""100만원쯤 하나요?"" 중3이 들고 나온 이 물건 무려 '10억원' 감정가 나왔다",사회
1234,커피·버거에 치킨까지...재미+대중성 잡는 게임사 '콜라보',IT
1236,"""눈을 의심했다 실화냐""..고속도로 한복판 차에서 내린 두 여성이 한 행동 [영상]",사회
1238,전기세 지원 등 중소·소상공인 경기 기대감 '솔솔',경제
1240,"""신종거지? 1200원에 인생을 파냐""..쓰레기 봉투 버렸는데 벌어진 '황당한 일'",사회
1242,"아메리칸항공, 보잉737맥스10 대규모 주문...문짝 날아간 맥스9은 빠져",경제
1244,"애플, EU 반독점 위반으로 2조6500억원 과징금...지루한 소송전 예고",경제
1246,"거침없는 SMCI, S&P500 편입 소식에 또 폭등 [송경재의 새벽증시]",경제
1248,'여론조사 답변 유도' 정동영…민주당 '경고' 조치[2024 총선],정치
1250,"민주, 정동영 '경고' 제재 조치 의결...'여론조사 답변유도' 의혹[2024 총선]",정치
1252,"민주당 군산 경선, 신영대 후보 확정[2024 총선]",정치
1254,"민주, 비명계 현역 줄줄이 탈락…박용진·정봉주는 결선행[2024 총선]",정치
1256,"[속보] 민주, 정춘숙·전혜숙·윤영찬·김한정·강병원 경선 탈락...현역 대거 물갈이",정치
1258,"[속보] 민주, 김우영·이수진·김준혁·오기형 공천",정치
1260,"[속보] 민주, 현역 강병원·윤영찬·김한정·이용빈 공천 탈락",정치
1262,"[속보] 민주, 하위10% 윤영찬·김한정 경선 탈락...  박용진 결선행",정치
1264,'한미-OCI 통합' 가처분 심문 종결…이달 말 주총 전 결론,생활
1266,"""진료지원 간호사로 전공의 공백 메울것"" [의료파업 장기전 돌입]",정치
1268,파라다이스 11년만에 코스피 이전 재추진,경제
1269,"삼성바이오로직스 ""올 첫 수주 성공""... UCB와 3819억 위탁생산 계약 체결",생활
1270,"공수처, '채상병 사건' 피의자 이종섭 前 장관 출국금지",사회
1272,"의협 간부, 경찰 첫 출석해 ""혐의 불인정""...10시간 만에 조사 종료",사회
1274,[종합] 韓-인도 외교장관 “방산·공급망 협력 강화”..K-9·핵심광물 주목,정치
1276,"정부, 이탈한 전공의 압박..'PA 간호사'에 '군 입대'도 거론",정치
1278,"'분신 시도' 국힘 前 당협위원장 영장 기각...""증거인멸·도망염려 없어""",사회
1280,"피치, 한국 신용등급 'AA-' 유지...""올 성장률 2.1%전망""",경제
1282,"[종합] 尹 “늘봄학교, 국민통합 계기 될 것”",정치
1284,"이기식 병무청장 ""미필 전공의 사표 수리시 일시 입영은 어려워""",정치
1286,쓰러진 할머니 향해 '스르르' 다가온 차..흰 가운 입은 시민이 몸으로 막았다,사회
1288,광주 '중앙공원 1지구' 공개 토론회...한양측 반발 속 파행,경제
1290,"박정림 전 KB증권 사장, SK증권 사외이사로",경제
1292,"인스파이어, 그랜드 오프닝 행사 성료..""글로벌 엔터테인먼트 목적지로 본격 도약""",생활
1294,"롯데면세점, 김포공항 출국장 주류·담배 판매 사업자로 선정",경제
1296,"[속보]피치, 한국 신용등급 'AA-' 유지…등급 전망도 '안정적'",경제
1298,"BPA, 공공기관 R&D 투자권고 우수 ‘장관 표창’",사회
1300,"부산시의사회, 학대피해아동 위해 3500만원 후원",사회
1302,비상 진료체제 가동... 예비비 1285억 푼다 [의료파업 장기전 돌입],사회
1304,"배터리 3사, 투자 앞세워 전기차 시장 '직진' [2차전지의 모든것 '인터배터리']",경제
1305,귤 78% ↑ 사과 71% ↑… 과일값 쇼크,경제
1307,[부음] 조순근씨 별세·조민식씨(한국도로공사 산청지사 고객지원팀장) 부친상,사회
1308,"[fn이사람] ""주말 문화재 지킴이 봉사로 재충전합니다""",사회
1310,"SKT, 스포츠 꿈나무 34명 후원",IT
1312,김하늘 부산자생한방병원장 ‘장관표창’,생활
1314,대교협 제28대 회장에 박상규 중앙대 총장,사회
1316,"정인교 통상본부장, LIG넥스원 방문",경제
1318,"""NH농협생명 알릴 사내 홍보모델을 소개합니다""",경제
1320,"최주선 삼성D 사장, 카이스트서 특별강연",경제
1322,[인사] 기획재정부,사회
1323,"포스코, 대학 12곳서 ‘기업시민경영과 ESG’ 수업",경제
1325,"'집단사직 교사 혐의' 의협 간부 ""고집 꺾어라"" 정부 향해 날세워 [의료파업 장기전 돌입]",사회
1326,"의대 교수들 ""증원 취소하라""… 소송전으로 번진 의정갈등 [의료파업 장기전 돌입]",사회
1328,"""더 가볍게 더 오래 달린다"" 배터리 빅3 첨단기술 경쟁 [2차전지의 모든것 '인터배터리']",경제
1330,은행들이 출자하는 '5조 중견기업펀드' 1호 투자처 연내 나온다,경제
1331,600억 투입해 농축수산물 가격 잡고… 석유시장점검단 매주 가동,경제
1333,송영길 석방될까…”총선 기회 달라” vs “증거인멸 우려 여전”,사회
1335,"국힘 컷오프 현역들 ""시스템 공천 깨졌다"" 잇단 파열음",정치
1337,"홍영표 ""가짜 민주당 떠난다""... 탈당파 뭉쳐 '反명 전선' 확대",정치
1339,"""리딩방 등 서민 울리는 악성사기 범죄 소탕""",사회
1341,"술 취해 편의점 알바 폭행한 남성 심신미약 주장, 재판서 받아줄까 [최우석 기자의 로이슈]",사회
1342,"""공무원에 휴업급여·상병보상연금 안 줘도 된다""",사회
1343,"""총장님 증원 신청 납득 못해""… 수업 거부하는 의대생들 [현장르포]",사회
1345,‘차익실현과 포모(FOMO) 사이’ 비트코인 급등락 [코인브리핑],경제
1347,美 CES 눈길 사로잡은 ‘원더글로브’ 울산에 새 둥지,사회
1349,대전역 동광장에 ‘49층 트윈타워’ 새로운 랜드마크로,사회
1351,"경기도, 수도권 출퇴근 노선에 ‘2층 전기버스’ 50대 투입",사회
1353,‘TK 총선 대진표’ 윤곽… 보수 성벽에 범야권연합 도전장 [요동치는 전국 총선판],사회
1355,"""의료대란 대비 24시간 비상진료… 연장 진료 등 만반 준비"" [로컬 포커스 자치단체장을 만나다]",사회
1357,서울-지방 순환주택 '골드시티'… 전국 확산 속도낸다,경제
1359,이성해 철도공단 이사장 'GTX 시대' 준비 박차,경제
1361,11년 째 외교장관 왕이 부장의 전인대 마지막 기자회견,경제
1363,"中 유학생 만난 은행원들 ""고액 송금 알바 광고 주의하세요""",경제
1365,대구銀 ‘뉴하이브리드’ 전략 은행권 메기될까,경제
1366,교보생명 새 대표에 조대규 부사장,경제
1368,"독일 하나은행, 무디스 ‘Aa3’ 획득",경제
1369,"기업銀, 글로벌 전문지 선정 ‘지속가능경영 최우수 은행’",경제
1371,"롯데카드, 결제금액·교통비 ‘반띵’ 이벤트 인기",경제
1373,외국인 매수로는 부족… 증시 추가상승 ‘기관’에 달렸다,경제
1374,"‘밸류업 수혜’ 은행주, 조정장에도 존재감",경제
1376,"고금리에 주춤했던 리츠주, 다시 기지개켜나",경제
1378,밸류업 열풍 타고 자금 증시로… 예탁금 한달새 7조 늘어,경제
1380,"""코스닥사 75%, 기업가치 2000억 이하""",경제
1381,200% 오른 삼성 비트코인 ETF,경제
1382,'롤러코스터' 비트코인 사상최고 찍자 차익매물 '와르르',경제
1384,카카오게임즈 이달말 CB투자자에 3700억 상환,경제
1385,미래에셋證 개인연금 업계 첫 10조 돌파,경제
1387,"K조선 수주량, 中 제치고 1위 재탈환",경제
1388,AI·SW인재 잡아라… 4대그룹 상반기 채용문 연다,경제
1390,"'의료권 독점' 지적한 尹 ""진료지원 간호사로 전공의 공백 메운다""",정치
1392,"""출고까지 1년""… 하이브리드카 나홀로 쌩쌩 [FN 모빌리티]",경제
1394,AI·디지털 전환은 '위기이자 기회',경제
1395,"""쿠루 배터리교환 가입자 올 3000명 넘기겠다""",경제
1397,"수도권 일대 카페서 현금 훔쳐 달아난 40대 남성, 경찰 추적 중",사회
1399,D램 이어 낸드 플래시까지… 초격차 앞서가는 삼성,경제
1401,"윤진식 무역협회장, 첫 현장행보... 판교 반도체 장비기업 찾아 소통",경제
1403,포니 타고 7080 서울 도심 달려볼까,경제
1405,"LS일렉트릭·LG전자 ""스마트팩토리 사업 협력""",경제
1406,"팀 네이버, 사우디 아람코와 중동 특화 슈퍼앱·AI 만든다",IT
1408,"""메타버스 산업 육성, 규제보단 진흥에 초점을""",IT
1410,"퀄컴 기술 품은 CJ올리브네트웍스,이음5G 사업 확장",IT
1411,정부 보조금 인상 압박에… 이통사 ‘제 살 깎아먹기’ 우려감,IT
1413,"포스코DX ""제조 현장, 산업용 AI 확산 주도""",IT
1415,피부에 닿으면 부드러워지는 3D 프린터용 잉크,IT
1417,"초저전력 AI용 반도체 개발, 뉴로모픽 컴퓨팅 시대 앞당긴다",IT
1419,"병무청, '병역면탈 조기경보시스템' 연내 구축..4대 추진전략, 10대 중점과제 발표",정치
1421,"방사청 ""K-방산, 신성장 동력으로 글로벌 4대 방산 강국"" 기반 확보",정치
1423,동국제약·아론티어 AI신약 개발 맞손,생활
1425,털갈이하는 우리 집 댕댕이 빗질·털 날림 한방에 해결,경제
1427,유연탄 값 내렸지만… 전기료 인상·건설 불황 등 악재 수두룩,경제
1429,"테크 업고 폭풍성장 스타트업, 잇단 IPO 노크",경제
1431,CJ프레시웨이 밀 전문브랜드 '이츠웰 레딧',경제
1433,"파라다이스, 11년 만에 코스피 이전 재추진...""기업가치 재평가 기대""",경제
1435,오뚜기'옐로우즈' 첫 테마송 공개,경제
1437,부모·자녀선물로 딱! 정관장 찐생홍삼구미 불티,경제
1439,"롯데百, 여성작가들의 꿈·도전 함께 나눈다",경제
1441,"""아빠는 흑미·엄마는 곤약밥""… CJ 햇반, 건강한 집밥 이끈다",경제
1443,"가수 장민호표 명란크림우동, GS25 냉장면 1위",경제
1445,나마카세族 위한 세븐일레븐 초밥키트,경제
1447,피스타치오·초코맛까지 '인생크림빵',경제
1449,학세권·초역세권에도… 2월 서울 비아파트 경매 찬밥,경제
1451,"현대건설, 英 소형모듈원전 사업 뛰어든다",경제
1453,북아현3 분담금 어쩌나… 사업비 4배 늘었다,경제
1455,"코람코, 부산 첫 정비사업지는 '명장2구역'",경제
1456,K-UAM 상용화 성큼… 정류장 모습은,경제
1458,[fn마켓워치]효성화학 특수가스 소수지분 흥행,경제
1460,"구자은 LS회장 ""투자금 20조, 신사업과 기존 사업에 절반씩""",경제
1462,유통업계 리더 배출 산실… P&G 비법은,생활
1464,엄마처럼 입을래… '고프코어 키즈' 뜬다,생활
1466,"마트·편의점 장점 쏙쏙… GS더프레시, 점포 늘고 매출 쑥쑥",경제
1468,"농식품부, 식품 수출효자 '라면' 생산 힘싣는다",경제
1469,"""새벽배송 확대시 지방 삶 좋아질 것""",경제
1471,"고립·은둔 청소년 14만명… 정부, 원스톱 사회복귀 지원",사회
1473,싱가포르 국부펀드 뭉칫돈 오픈AI로 가나,경제
1475,"김명수 합참의장 ""北 소행 테러 발생시 민·관·군·경 단호히 응징""",정치
1477,"국토부, 노후계획도시 정비 정책 설명회.. 내년 중 기본계획 수립 착수",경제
1479,"농협은행 직원, 담보가치 12억원 부풀려 대출금 더 내줬다..""업무상 배임""",경제
1481,"국회 '총선 블랙홀'… 여야, 민생 외치며 민생법안은 뒷전",정치
1483,여성과학자부터 탈북민 청년까지... 與 '비례' 공천 새 인물로 채울까,정치
1484,"개혁신당, 이번엔 대선 결선 투표 제안",정치
1486,황희 지원사격 나선 이재명 '친문 끌어안기',정치
1488,"골든블루 박용수 회장 차녀 박소영 부회장, 대표이사직 취임.. 경영권 승계 본격화",경제
1490,"민주, 공영운·김영만 등 대변인 6명·부대변인 12명 추가 임명[2024 총선]",정치
1492,"의료공백 장기화..尹 ""정부, 예비비 1285억 투입해 대응""",사회
1494,"카이스트 찾은 최주선 삼성D 사장, 인재 확보 팔 걷었다",경제
1496,"KMVNO ""알뜰폰 이용자 보호 역량 강화…정부의 일관된 정책 필요""",IT
1498,"법무법인 바른, 반정모·이강호·김태형 전 부장판사 등 영입[로펌소식]",사회
1500,"삼바, UCB와 3819억원 규모 위탁생산 계약 ""올해 첫 수주 성공""",IT
1502,“이게 언론인가?”... 가짜뉴스 언론 법적조치[2024총선],정치
1504,"尹 “늘봄학교, 되돌릴 수 없다..2026년 초등 전체 학년 확대”",정치
1506,‘GRBK 하우스오브 일상’ 팝업 향한 관심 뜨거워… 건강 디저트 챙기는 젊은 세대 발길로 북적,경제
1508,與 시스템 공천 논란 지속...유영하 공천 '박근혜 효과'는? [2024 총선],정치
1510,공군 11전비 '비수(PISU)훈련' 적 순항미사일에 실전 기량 연마,정치
1512,익산 3산단 확장…미래성장산업 육성 지속,사회
1514,"공천배제에 뿔난 울산 여야 중진, 무소속 출마로 반격[2024 총선]",정치
1516,"[속보]尹 ""진료지원 간호사 시범사업으로 전공의 공백 메울 것""",정치
1518,'릴레이 정책' 재개로 승부수 띄운 개혁신당…'개혁'에 방점[2024 총선],정치
1520,"[속보]尹 ""병원 인력구조 바꿔야, 전공의 비중 매우 기형적""",정치
1522,"[fn마켓워치] EQT, 신한금융지주 보유지분 929만 7000주 블록딜 추진",경제
1524,'부랴부랴' 親文 보듬기 나선 이재명..양천갑 황희 지원사격[2024 총선],정치
1526,"'공정한 선거 치르자'…전북선관위, 5개 정당과 협의회[2024 총선]",정치
1528,"하남시 민주당 예비후보 3인...""전략공천 철회하라""[2024 총선]",정치
1530,"美하버드생 100여명 한국 여행.. 관광공사 ""교육여행 유형별 콘텐츠 개발 주력""",생활
1532,세계 유일 드론축구 전용구장 전주에 조성,사회
1534,"[속보]尹 ""의료비 511배 늘었는데 의대 정원 2.2배 증원""",정치
1536,"尹 ""전공의 이탈했다고 비상체계 가동..얼마나 비정상적인가""",정치
1538,<인사> 기획재정부,사회
1539,"홍영표 탈당에도 ""명천 없다"" 일축...'與 공천 논란' 돌파구 삼는 이재명[2024 총선]",정치
1541,"총선에선 ""민생"" 외치며 정작 '민생법안'은 나몰라라[2024 총선]",정치
1543,"미디어·디지털 역량 강화의 첨병, '시흥영상미디어센터' 기공",사회
1545,"영남대 의대교수協 ""의대 증원, 일방적·독단적 처사""",사회
1547,"교육발전특구 시범지역 선정된 동두천시, ""전국 최초의 교육도시 만들어요""",사회
1549,"메타버스 활성화 TF 구성‥.업계 ""규제보단 진흥에 초점둘 때""",IT
1551,[현장르포]은행원들이 중국인 유학생 만나러 간 사연은...'자각 못한 보이스피싱 차단',경제
1553,"금호석유화학 ""1291억 규모 자사주 소각...주주가치 제고""",경제
1555,현장서도 '단통법 폐지' 촉구…일각선 '속도조절' 필요성 제기도,IT
1557,與 남은 공천퍼즐 '비례'..여성·청년 인재 출마 도전장[2024 총선],정치
1559,"장성민 1호 공약 ""안산에 이민청 설치..국제행정도시로 발전""[2024 총선]",정치
1561,D램 이어 낸드도… 삼성 '1위' 수성하며 SK하닉 따돌려,경제
1563,"고양시-中 북경차동차, 4조원 규모 투자협약 체결",사회
1565,"농협은행 경북본부, 경북교육청에 사랑카드 적립금 16억 전달",사회
1567,악성 댓글에 극단적 선택한 김포시 공무원...市 애도 기간 갖는다,사회
1569,"""석촌호수 벚꽃보며 호캉스 즐기세요"" 롯데호텔월드 패키지 내놔",경제
1571,"통상본부장 ""美선거 시나리오 맞춰 통상 대응할 것""",경제
1573,"'삼성, 어려워도 1만명 뽑는다'…4대 그룹, 상반기 채용 시즌 돌입",경제
1575,STX B2B 플랫폼 '트롤리고' 중동서 맹활약… 사용자 한달새 4배,경제
1577, 'AI 확산' 개인정보 안전장치 마련…책임자 자격 요건 강화,IT
1579,"호라이즌 유럽, 사후정산 방식 분담금 낸다",IT
1581,"[fn마켓워치] 카카오게임즈 CB 투자자, 조기상환 3700억원 요구",경제
1582,시장 회복에 배당 기대감...온기 도는 리츠주,경제
1584,'밸류업 실탄' 7조 늘었다...투자자예탁금 20개월만에 최대,경제
1586,"코레일, 올 상반기 1100명 신규 채용",사회
1588,"관광공사, 관광투자유치 컨설팅 및 홍보 지원사업 공모",생활
1590,"이재명, ""국정경험자 황희, 한강벨트서 승리할 것""[2024 총선]",정치
1592,"대한적십자 서울지사, 교육여행 안전요원 직무연수 실시",생활
1594,"2월 한국 조선 수주, 中제쳤다...韓 반등 국면 만들어가나",경제
1596,"LH, 대구경북지역 내 1437호 매입 추진",사회
1598,올해 공공기관 일자리 80%는 '청년 몫'...전체 채용 전년比 10%↑,경제
1600,"'하이브리드 은행' 내세운 대구銀, 메기효과 낼까...고객 체감할 '차별화' 관건",경제
1602,"""앱 하나로 인천공항 더 편하게 이용하세요""",경제
1604,"변협 ""비밀유지권 입법 제안…변호사 아닌 국민을 위한 것""",사회
1606,"尹 “민생토론회, 국민의 어려움 해결 위한 것”",정치
1608,"윤진식 무협 회장, 취임 후 첫 현장 '엑시콘' 방문",경제
1610,"""정찰부터 수송까지 드론 전분야 기술 망라""",경제
1612,"""대전역에 49층 트윈타워 선다""...대전시,'메가충청 스퀘어' 건설",사회
1614,뻣뻣한 측정 센서가 피부에 닿자 부드러워졌다,IT
1616,"산업부, 미래차 전환 기업에 대출 이자 최대 2%p 지원",경제
1618,"尹 ""비상진료에 예비비 1285억 확정..의사들에 엄중 대응""",정치
1620,"신한카드, ‘iF 디자인 어워드’ 3년 연속 본상 수상",경제
1622,"금감원, 불법 추심 제동..이달 8일부터 금융채무 한 눈에 조회 가능",경제
1624,<인사> 에쓰오일,사회
1625,'4년' 동거男의 손찌검.. 경찰 신고했다가 알게 된 '충격적 사실',사회
1627,"""온누리상품권 유통 실태조사 통해 효율화""",경제
1628,중견기업전용펀드 '투자 1호' 연내 나와..혁신성장펀드도 3조 이상 추가 조성,경제
1630,"'아반떼·카니발 사려면 1년 대기'..하이브리드車, 나홀로 질주",경제
1632,尹 “북한 ‘총선 도발’ 가능성..한미 연합방위태세 확인”,정치
1634,"청소년 교육격차 해소 ‘KB Dream Wave 2030’, 올해 더욱 확대한다",경제
1636,"식약처장, 국민에 직접 답했다..""소비기한 2시간 지났어도 배탈 안나요""",경제
1638,"공사 173명 졸업, ""강전영 소위, 대통령상·공사 역사상 7번째 종합우등상""",정치
1640,"코레일, '반부패·청렴경영' 대내외 선포",사회
1642,"남의 가게 앞에 반려견 배변봉투를 '뚝'.. ""무개념 견주, 얼굴 공개하라"" 공분",사회
1644,"오트사이드, 앰버서더로 배우 고민시 선정...새 캠페인 CF 공개",경제
1646,휴강하고 개강 연기하고…'동맹휴학'에 전북지역 의대 '들썩',사회
1648,"전남대병원·화순전남대병원, 뉴스위크 주관 '세계 최고 병원' 선정",사회
1650,"尹 “늘봄학교, 2026년 초등학교 모든 학년 시행”",정치
1652,교보생명 새 대표에 '교보맨' 조대규 부사장,경제
1654,"HD현대, 해상 원자력 에너지 협의기구 'NEMO' 공동 설립",경제
1656,"요즘 핫플 인스파이어 리조트 패키지, 11번가에서 단독 판매",경제
1658,"공정위, 中알리 현장조사…""소비자 보호 의무 위반 의혹""",경제
1660,"""주5일이라더니 6일 일했다"" 정부, 위법·부당 채용 281건 적발",사회
1662,"산업부, 스타트업-디자인기업 히트상품 개발 돕는다",경제
1664,"정부, 해외 우수 연구기관 공동연구자에 258억 지원",경제
1666,국표원 '재사용 우모' 표시사항 근거 마련,경제
1668,"""제철 수산물 싸게 먹는 법은?"" 정부, 수산대전-봄 특별전 개최",경제
1670,올겨울 최대-최저 전력수요 격차 역대 최대…전력당국 '부담',경제
1672,"[속보]尹 ""필수의료인력 투입, 의료진 보상에 예비비 1285억 확정""",정치
1674,"정부, 배터리에 5년간 5천억 R&D 지원...친환경 개발에 주력",경제
1676,"통상본부장, LIG넥스원 방문 ""자동차·무기류 수출 확대 이끌 것""",경제
1678,'우회덤핑 물품' 판정 기간 4개월 단축한다,경제
1680,"산업장관 ""새벽배송 확대하면 지방 삶 좋아져...규제 합리화해야""",경제
1682,장시간 소화전 사용 시 발생 수압저하 등 불편 없앤다,사회
1684,지난해 대구 방문 외국인관광객 전년대비 폭증,사회
1686,"美헤리티지 재단 ""韓강성노조, 기업 비용 증가""..노동시장 국제평가 '과락'",경제
1688,"""1300억 규모 대만 해저케이블 공급 계약 체결""",경제
1690,"[속보]尹 ""의사들 불법 집단행동, 엄중 대응..허용 못해""",정치
1692,"전남도, 외국인 계절근로자 처우 개선 '온 힘'",사회
1694,세종충남대병원 의료사태 속 정상진료 '눈길',사회
1696,<부고> 조민식씨(한국도로공사 팀장) 부친상,사회
1697,"이재명 ""국힘, 현역불패·돌려막기·김건희 특검 공천 중""[2024 총선]",정치
1699,"가격 인상 덕 본 시멘트 업계, 올해 전망은",경제
1701,"생산성본부 ""고양시 소상공인 경영환경 개선""",경제
1702,"[속보]정부 ""의사 집단행동 대응, 예비비 1285억원 의결""",사회
1704,예비비 1285억원 의료 현장 투입...전공의 대치 '장기전' 양상,경제
1706,지름 6m 미국서 화제였던 SK '그것' 울산공단 상징물 된다,사회
1708,"'극단선택 추정' 공무원 '신상' 털린 카페..운영진 ""죄책감 밀려와""",사회
1710,“플랫폼의 골목시장 침탈·불공정행위 즉시 중단해야”,경제
1712,"장성군, 청소년 수당 '꿈키움 바우처' 지원 시작",사회
1714,6년만 한-인도 외교장관 공동위..핵심광물 공급망 협력 주목,정치
1716,"박정훈 국힘 송파갑 예비후보, '잠실중 제2캠퍼스 신설' 공약 발표[2024 총선]",정치
1718,한달새 물가 다시 3%대...할인지원 600억원 투입,경제
1720,"尹 정권 심판, 대구지역 진보정당 총선서 뭉치기로 [2024 총선]",사회
1722,"교보라이프플래닛생명, 1250억 유상증자..“지속 가능한 사업계획 추진”",경제
1724,"한국거래소, 보호종료 청소년 자립 위해 후원금 3억원 전달",경제
1726,“외국계 다니며 받은 스톡옵션..해외 증권사 통해 매도 가능” 금감원,경제
1728,"중흥그룹 ""건설 계열사 채무보증 증가, 부실 위험과 무관""",경제
1730,"""코스닥 종목 75%는 상장 후 1주일만 관심있어""[fn마켓워치]",경제
1732,"한국P&G, 체계적인 인재 육성 프로그램으로 리더 양성 앞장",경제
1734,"""초등생이 편의점서 가장 할인받고 싶어하는 간식은?"" 이마트24, 컵라면 할인 행사",경제
1736,"데상트골프, 골프화 비즈니스 강화한다",생활
1738,삼양식품 '밀양2공장' 착공...1공장 완공 2년만,경제
1740,"나주 중·고교생, 만원으로 서울 강남 명품 인강 듣는다",사회
1742,"고대안산병원, 특수건강진단기관 평가 최우수 ‘S등급’",생활
1744,AI가 분석한 韓 산업은?…탄소중립 '기회' 공급망 '리스크',경제
1746,폭풍 성장 스타트업…코스닥 시장 문 두드린다,경제
1748,"웰바이오텍EVC, 전기차 충전시설 보조사업 수행기관 선정",경제
1750,"제이스코홀딩스, 디나가트광산 매장량 추정보고서 입수",경제
1752,"""덴마크는 韓 풍력산업 최적 파트너""…한경협, 녹색 산업 포럼 개최",경제
1754,"한신공영, 500억원 규모 회사채 차환 발행 완료",경제
1756,"""재택으로 월 300만원 수익"" 사기...1년만에 23배↑",사회
1758,첫 출근 20분 만에 절도...20대 남성 경찰 조사 중,사회
1760,"[르포]증원신청에 뿔난 의대생…대학, 개강 연기 이어져",사회
1762,여수 국가산단에 탄소중립화학공정실증센터 개소,사회
1764,유한양행 개발 면역항암제 2종 비임상 결과 美암학회서 공개,생활
1766,"에이서, '인텔 14세대 CPU 탑재' 프레데터 헬리오스 5종 출시",IT
1768,개혁신당 “대선 결선 투표제·대통령 4년 중임제 등 도입 위해 개헌하자”[2024 총선],정치
1770,하이브리드차 고수한 업체들의 미소 [테헤란로],경제
1772,"'다이어트 탄산', 많이 마시면 심장 박동 불규칙해진다",생활
1774,"'스마트하게 어르신 지원' 서울시, 로봇·AI 돌봄 확대",사회
1776,尹 “미국 조야의 지지 중요”..CSIS “지지 확고하다”,정치
1778,"""공무원은 못 받는 휴업급여·상병보상연금, 합헌"" 헌재",사회
1780,인간 뇌 닮은 뉴로모픽으로 GPT를 가동한다,IT
1782,"소니드온, '인터배터리 2024'서 폐배터리 전처리 솔루션 ‘셀자동추출기’ 전시",경제
1784,"부산진해경자청 ""2조원 규모의 와성지구 개발 순항""",사회
1786,"'SM주가 조종 혐의' 배재현 카카오 투자총괄, 보석석방",사회
1788,"국기연, 장비·부품·소프트웨어 등 '전력지원체계'에 민간 기술 도입",정치
1790,전 세계 투자자들 “테크놀로지 및 헬스케어 섹터 주목… AI가 촉매 역할 기대”,경제
1792,"[특징주]JW신약, 세계최초 오가노이드 재생치료법 개발 본격화 기대감↑",경제
1794,"신한證 ""올해 ISA 가입자 125% 증가..순매수 1위는 삼전""",경제
1796,"화성시, 봉담와우복합문화도서관 착공...2025년 개관 목표",사회
1798,"'뇌물 혐의'로 법정 선 노웅래 ""재판 때문에 총선 타격…너무 억울""",사회
1800,"""텅 빈 콘서트장 볼 것"" 카리나 연애에 '트럭 시위'까지..결국 사과",생활
1802,"""中 4개 노선 하늘길 확대 추진""",경제
1804,"대림성모병원, 필수 의료 책임질 우수 의료진 7명 영입",생활
1806,"""英에 507억 규모 초고압 전력망 공급""",경제
1808,"KISA, 유럽 보안 인증제(TI) 최고 등급 획득...유럽 외 국가 최초",IT
1810,'가치투자 1세대' 허남권 신영운용 대표 물러난다..신임 대표엔 엄준흠 신영證 부사장,경제
1812,"평택시, 행안부 '공공데이터 제공 평가' 2년 연속 우수기관 선정",사회
1814,"포스코DX ""산업용 AI 기업으로 성장할 것.. 가장 잘할 수 있는 분야"" (종합)",IT
1816,"""차에 치인 고양이 구조했는데 '절도죄'로 신고당했습니다""",사회
1818,"광명시, 1조1276억 규모 '제1회 추가경정예산' 편성...성장 기반 마련",사회
